director_id,movie_id
1,5
1,24
2,5
3,5
4,5
5,11
6,12
7,13
8,14
8,25
9,16
10,18
11,19
12,22
12,58
13,28
14,33
14,66
14,70
15,35
16,38
17,55
18,59
19,62
20,65
21,69
22,71
23,73
24,74
24,85
24,87
24,89
25,75
26,76
26,80
27,77
28,78
28,98
29,83
30,90
31,95
32,96
33,100
34,103
35,104
7,105
36,106
33,107
37,111
38,114
39,115
40,116
37,117
25,118
41,120
41,121
41,122
42,129
39,134
43,137
44,141
45,142
46,152
47,153
48,154
27,155
49,157
50,161
25,162
50,163
7,165
51,167
49,168
52,169
53,170
54,172
55,173
48,174
56,176
57,177
58,179
24,180
50,182
1,184
59,186
2,187
60,187
2,189
60,189
61,193
62,194
7,196
63,197
64,199
64,200
65,201
34,203
66,205
67,207
68,214
68,215
24,217
69,218
70,219
71,223
72,226
13,227
73,231
74,235
13,238
75,239
13,240
13,242
76,243
77,245
78,245
79,248
80,251
81,252
82,253
41,254
83,257
84,261
25,268
27,272
85,274
86,277
87,278
88,279
69,280
75,284
12,285
89,288
90,289
91,291
16,292
92,296
30,297
50,298
93,302
94,306
95,310
96,314
32,319
27,320
97,321
14,322
98,326
99,327
24,329
24,330
100,331
101,334
102,335
103,338
19,345
28,348
104,350
25,364
105,377
106,380
107,387
108,388
109,389
102,391
110,392
1,393
111,395
112,398
113,400
114,401
115,403
116,408
117,409
118,411
119,414
119,415
120,421
83,423
24,424
121,425
102,429
122,431
123,433
124,435
125,440
126,440
127,451
128,453
129,454
130,455
50,462
17,470
131,473
132,479
133,489
134,492
135,496
87,497
1,500
107,503
136,504
137,507
138,508
139,509
88,510
40,512
25,522
34,524
94,525
140,526
141,533
142,533
143,534
144,535
71,539
145,544
146,544
147,546
148,547
149,549
150,550
151,557
151,558
151,559
36,562
152,563
128,568
71,573
153,576
133,577
24,578
154,579
155,580
156,581
157,582
132,584
158,585
106,586
25,587
159,588
22,590
128,591
13,592
24,594
160,595
69,597
161,598
162,598
24,601
124,602
163,603
164,603
163,604
164,604
163,605
164,605
58,606
165,607
165,608
166,609
24,612
167,613
63,615
168,616
169,617
170,619
171,621
83,622
53,627
172,628
173,629
174,630
175,634
74,639
24,640
131,641
176,642
24,644
177,646
132,650
107,652
178,654
177,657
82,658
177,660
68,663
179,664
180,666
181,667
182,668
183,671
183,672
184,673
185,674
186,675
31,676
69,679
1,680
82,681
82,682
7,686
187,687
14,688
181,691
188,692
189,693
19,694
181,698
190,699
190,700
178,702
40,703
191,704
190,707
190,708
190,709
192,710
133,711
185,712
193,713
194,714
32,744
195,745
196,746
197,747
198,752
199,754
2,755
200,756
116,756
201,756
202,756
203,756
204,756
205,756
206,756
207,756
208,756
209,756
210,756
57,762
211,762
151,764
151,765
186,767
212,768
213,768
34,769
174,770
183,771
183,772
214,773
215,773
216,782
217,783
218,786
219,787
183,788
220,790
221,792
140,794
222,795
223,796
106,801
19,802
83,805
150,807
224,808
118,808
225,809
226,809
118,809
227,810
228,810
229,812
230,812
80,813
231,813
232,813
189,816
189,817
189,818
106,819
221,820
233,821
129,824
234,826
86,834
18,837
5,838
24,840
235,841
236,844
237,846
238,848
239,849
240,853
241,854
28,855
24,857
76,859
242,860
152,861
243,862
243,863
244,864
245,865
246,866
247,868
