actor_id,character_name,cast_order,movie_id
34,Admiral James Greer,15,9331
34,Narrator of Michael's Past (uncredited),21,9339
34,Thulsa Doom,1,9387
34,Adm. James Greer,8,9869
34,Voice Box at Hardware Store (voice),17,9928
35,Uncle Owen,10,11
35,State Senator,81,1924
36,Aunt Beru,11,11
37,Chief Jawa,12,11
37,Chief Ugnaught,23,1891
37,Teebo,26,1892
38,General Willard,13,11
39,Red Two (Wedge),14,11
39,Rebel Force Wedge (Rogue 3),37,1891
39,Wedge,19,1892
40,Red Three (Biggs),15,11
40,CNN Reporter,25,954
40,CIA Director Cy Wilson,9,1535
40,Lt. Rafferty,25,5902
41,General Taggi,16,11
42,Commander #1,17,11
43,General Motti,18,11
43,U.S. Aide,20,700
43,Reporter,40,8536
44,Stormtrooper,19,11
45,General Dodonna,20,11
46,Red Leader,21,11
47,Red Four (John D),22,11
47,Apostis,19,699
48,Red Six (Porkins),23,11
48,Major Eaton,10,85
48,Eckhardt,10,268
48,Munson,14,3604
48,Kiril,11,9306
49,Gold Leader,24,11
49,Sgt. Whitman,17,1487
49,Pudsey Smith,19,1613
49,Prison Warder,27,8536
49,Fergie,9,9281
49,Judge,17,9667
49,Capt. John Tierney,13,9676
50,Gold Two,25,11
51,Gold Five,26,11
52,Red Two (voice) (uncredited),27,11
53,Boba Fett (special edition) (uncredited),28,11
54,Stormtrooper (voice) (uncredited),29,11
54,Mayor Grundy,12,235
54,Judge,18,788
54,Mr. Gordon,22,838
55,Stormtrooper (uncredited),30,11
55,Stormtrooper (uncredited),49,1891
56,Cantina Alien (uncredited),31,11
57,Cantina Alien (uncredited),32,11
58,Greedo (uncredited),33,11
59,Nabrun Leids (uncredited),34,11
60,Wuher (uncredited),35,11
61,Drifter (Red 12) (uncredited),36,11
62,Cantina Patron (uncredited),37,11
63,Stormtrooper (uncredited),38,11
64,Wioslea (uncredited),39,11
65,Dr. Evazan (uncredited),40,11
65,Milkman,28,1955
66,Cantina Patron (uncredited),41,11
67,Greedo (uncredited),42,11
68,Hrchek Kal Fas (uncredited),43,11
69,Jawa (uncredited),44,11
70,Stormtrooper / Tusken Raider / Death Star Trooper / Garouf Lafoe (uncredited),45,11
70,German Soldier (uncredited),35,85
70,Snowtrooper Gunner (uncredited),54,1891
70,Aman Fasil,10,8009
71,Jawa (uncredited),46,11
72,Garindan (uncredited),47,11
73,Djas Puhr (uncredited),48,11
74,Death Star Trooper (uncredited),49,11
74,German (uncredited),41,85
74,Policeman (uncredited),49,1955
75,Stormtrooper with Binoculars (uncredited),50,11
76,Cantina Patron (uncredited),51,11
77,Death Star Trooper (uncredited),52,11
78,Kabe (uncredited),53,11
79,Kabe / Jawa / GONK Droid (uncredited),54,11
79,Oompa Loompa,11,252
80,Cantina Patron (uncredited),55,11
81,Stormtrooper (special edition) (uncredited),56,11
82,Stormtrooper (uncredited),57,11
82,German Lieutenant (uncredited),40,85
83,Leia's Rebel Escort (uncredited),58,11
83,Bossk / Bespin Security Guard (uncredited),58,1891
84,Stormtrooper (uncredited),59,11
85,Brea Tonnika (uncredited),60,11
86,Stormtrooper (uncredited),61,11
87,Ponda Baba (uncredited),62,11
88,Death Star Trooper (uncredited),63,11
89,Mosep (uncredited),64,11
90,Chall Bekan (uncredited),65,11
91,Solomohal (uncredited),66,11
