movie_id,country_iso_code
1491,CZ
1491,US
1493,US
1495,DE
1495,MA
1495,ES
1495,GB
1495,US
1497,HK
1497,US
1499,HK
1499,US
1523,GB
1523,DE
1523,US
1535,GB
1535,US
1537,US
1538,US
1542,US
1547,US
1551,US
1555,FR
1562,ES
1562,GB
1571,GB
1571,US
1572,US
1573,US
1574,US
1576,FR
1576,DE
1576,GB
1576,US
1577,GB
1577,US
1577,DE
1577,FR
1577,CA
1578,US
1579,US
1581,GB
1581,US
1584,DE
1584,US
1585,US
1586,US
1587,US
1588,US
1593,US
1593,GB
1597,US
1598,US
1613,CA
1613,GB
1619,US
1620,FR
1620,US
1621,US
1624,US
1635,US
1636,US
1637,US
1639,US
1640,DE
1640,US
1642,US
1645,US
1646,DE
1646,US
1648,US
1656,MX
1656,US
1667,FR
1669,US
1677,US
1683,US
1685,US
1687,US
1688,US
1690,US
1691,US
1701,US
1705,US
1717,US
1722,GB
1722,US
1722,FR
1724,US
1725,US
1726,US
1729,CN
1729,US
1734,US
1735,DE
1735,US
1770,IE
1770,GB
1771,US
1777,US
1779,US
1781,US
1788,US
1792,US
1813,DE
1813,US
1817,US
1819,US
1824,US
1830,FR
1830,US
1830,DE
1831,US
1832,US
1833,US
1844,GB
1844,US
1850,US
1852,US
1858,US
1865,US
1878,US
1880,US
1883,US
1885,US
1887,FR
1887,US
1887,JP
1891,US
1892,US
1893,US
1894,US
1895,US
1900,DE
1900,US
1903,US
1904,US
1907,GB
1907,US
1909,US
1911,US
1913,ES
1913,FR
1913,IT
1921,US
1924,GB
1924,US
1927,US
1930,US
1931,US
1934,US
1946,CA
1946,FR
1946,GB
1947,US
1947,DE
1948,US
1949,US
1951,DK
1951,FR
1951,DE
1951,IT
1951,NL
1951,SE
1951,GB
1954,CA
1954,US
1955,GB
1955,US
1957,US
1961,US
1966,FR
1966,DE
1966,IT
1966,NL
1966,GB
1966,US
1969,US
1969,FR
1969,MX
1970,JP
1970,US
1975,US
1979,DE
1979,GB
1979,US
1985,CN
1985,DE
1985,GB
1985,US
1988,FR
1988,GB
1988,PK
1988,US
1989,CN
1989,FR
1989,HK
1995,US
1996,US
1996,DE
1996,JP
1996,GB
1997,FR
1997,GB
2001,US
2009,BE
2009,RO
2013,FR
2013,US
2018,US
2022,US
2023,US
2023,MA
2024,DE
2024,US
