genre_id,movie_id
1,5
2,5
3,11
4,11
5,11
1,13
8,13
9,13
6,12
7,12
2,16
8,16
10,16
8,14
3,18
4,18
5,18
11,18
12,18
5,19
8,19
3,22
11,22
4,22
4,24
2,24
8,25
13,25
8,28
13,28
14,33
6,35
1,35
7,35
8,38
5,38
9,38
8,55
12,55
3,58
11,58
4,58
8,59
12,59
2,59
3,62
5,62
15,62
8,65
8,66
12,66
2,66
8,69
10,69
9,69
8,70
8,71
1,71
10,71
8,73
3,74
12,74
5,74
11,75
1,75
5,75
8,76
9,76
12,77
15,77
8,78
12,78
5,78
8,80
9,80
8,83
12,83
3,85
4,85
3,87
4,87
3,89
4,89
4,90
1,90
2,90
3,95
4,95
12,95
5,95
4,96
1,96
2,96
3,98
8,98
4,98
1,100
2,100
8,103
2,103
8,104
4,104
12,104
3,105
1,105
5,105
7,105
3,106
4,106
12,106
5,106
12,107
2,107
8,111
4,111
12,111
2,111
1,114
9,114
1,115
2,115
8,116
12,116
2,116
9,116
8,117
16,117
12,117
2,117
3,118
11,118
1,118
7,118
3,120
11,120
4,120
3,121
11,121
4,121
3,122
11,122
4,122
3,129
11,129
6,129
7,129
3,134
4,134
1,134
11,137
8,137
1,137
9,137
11,141
8,141
15,141
8,142
9,142
3,152
5,152
15,152
8,153
3,154
4,154
12,154
5,154
8,155
4,155
12,155
2,155
3,157
4,157
12,157
5,157
12,161
2,161
11,162
8,162
9,162
12,163
2,163
3,165
1,165
5,165
7,165
8,167
5,167
3,168
5,168
4,169
12,169
5,169
17,170
12,170
5,170
3,172
4,172
12,172
5,172
3,173
8,173
5,173
3,174
4,174
12,174
5,174
17,176
2,176
15,176
8,177
1,177
12,179
2,179
4,180
12,180
5,180
15,180
8,182
12,182
2,182
15,182
9,182
13,182
1,184
2,184
9,184
8,186
12,186
2,186
15,186
4,187
12,187
2,187
12,189
2,189
3,193
4,193
12,193
5,193
1,194
9,194
3,196
1,196
5,196
7,196
8,197
4,197
16,197
13,197
3,199
4,199
12,199
5,199
3,200
4,200
12,200
5,200
3,201
4,201
12,201
5,201
8,203
2,203
8,205
16,205
13,205
8,207
17,214
12,214
2,214
17,215
3,217
4,217
4,218
12,218
5,218
8,219
1,219
9,219
8,223
15,223
8,226
2,226
8,227
2,227
8,231
12,231
8,235
2,235
8,238
2,238
1,239
9,239
8,240
2,240
8,242
12,242
2,242
8,243
1,243
10,243
9,243
8,245
1,245
9,245
8,248
1,248
11,251
8,251
12,251
15,251
9,251
11,252
7,252
3,253
4,253
12,253
3,254
8,254
4,254
8,257
2,257
7,257
8,261
9,261
11,268
4,268
8,272
4,272
2,272
8,274
12,274
2,274
11,277
4,277
12,277
8,278
2,278
8,279
16,279
10,279
4,280
12,280
5,280
8,284
1,284
9,284
3,285
11,285
4,285
14,288
8,289
9,289
18,291
1,292
18,292
10,292
4,296
12,296
5,296
11,297
8,297
15,297
12,298
2,298
12,302
2,302
4,306
1,306
2,306
11,310
1,310
4,314
2,314
4,319
12,319
2,319
9,319
12,320
2,320
15,320
1,321
9,321
8,322
12,322
2,322
15,322
17,326
4,326
12,326
2,326
8,327
12,327
2,327
3,329
5,329
3,330
4,330
5,330
3,331
4,331
12,331
5,331
8,334
14,335
8,338
1,338
9,338
8,345
15,345
17,348
4,348
12,348
5,348
8,350
1,350
9,350
11,364
4,364
17,377
8,380
3,387
8,387
4,387
16,387
13,387
8,388
12,388
2,388
8,389
14,391
8,392
1,392
9,392
4,393
12,393
2,393
3,395
4,395
5,395
8,398
2,398
8,400
2,400
8,401
1,401
9,401
8,403
1,403
11,408
6,408
7,408
8,409
9,409
13,409
3,411
11,411
7,411
11,414
4,414
2,414
11,415
4,415
2,415
3,421
8,421
1,421
8,423
13,423
8,424
16,424
13,424
3,425
6,425
1,425
7,425
14,429
12,431
5,431
15,431
11,433
1,433
7,433
3,435
4,435
12,435
5,435
11,440
17,440
4,440
12,440
5,440
8,451
9,451
8,453
9,453
8,454
9,454
8,455
1,455
9,455
8,462
8,470
12,470
2,470
8,473
12,473
15,473
3,479
4,479
12,479
2,479
8,489
11,492
8,492
1,492
1,496
11,497
8,497
2,497
12,500
2,500
3,503
8,503
4,503
12,503
8,504
2,504
8,507
4,507
12,507
2,507
8,508
1,508
9,508
8,509
1,509
9,509
8,510
1,512
15,512
8,522
1,522
16,522
8,524
2,524
4,525
1,525
2,525
10,525
3,526
11,526
8,526
9,526
3,533
6,533
1,533
7,533
4,534
12,534
5,534
8,535
10,535
9,535
8,539
17,539
12,539
1,544
9,544
8,546
8,547
9,547
8,549
16,549
8,550
11,557
4,557
3,558
11,558
4,558
3,559
11,559
4,559
4,562
12,562
3,563
4,563
12,563
5,563
8,568
8,573
12,573
2,573
15,573
3,576
14,576
11,577
8,577
1,577
12,577
3,578
17,578
12,578
17,579
12,579
3,580
12,580
3,581
8,581
14,581
8,582
12,582
4,584
12,584
2,584
6,585
1,585
7,585
8,586
1,586
3,587
11,587
8,587
17,588
15,588
8,590
12,591
15,591
8,592
2,592
15,592
8,594
1,594
8,595
2,595
8,597
12,597
9,597
8,598
2,598
3,601
