movie_id,language_name,language_role
861,English,Spoken
862,English,Spoken
863,English,Spoken
864,English,Spoken
865,English,Spoken
866,English,Spoken
869,English,Spoken
872,English,Spoken
873,English,Spoken
874,English,Spoken
879,English,Spoken
881,English,Spoken
887,English,Spoken
888,English,Spoken
889,English,Spoken
907,English,Spoken
913,English,Spoken
920,English,Spoken
921,English,Spoken
924,English,Spoken
925,English,Spoken
926,English,Spoken
927,English,Spoken
928,English,Spoken
935,English,Spoken
943,English,Spoken
944,English,Spoken
947,English,Spoken
948,English,Spoken
950,English,Spoken
951,English,Spoken
953,English,Spoken
954,English,Spoken
955,English,Spoken
956,English,Spoken
957,English,Spoken
978,English,Spoken
985,English,Spoken
990,English,Spoken
1018,English,Spoken
1024,English,Spoken
1051,English,Spoken
1088,English,Spoken
1090,English,Spoken
1091,English,Spoken
1103,English,Spoken
1116,English,Spoken
1124,English,Spoken
1125,English,Spoken
1164,English,Spoken
1165,English,Spoken
1213,English,Spoken
1245,English,Spoken
1246,English,Spoken
1248,English,Spoken
1250,English,Spoken
1251,English,Spoken
1259,English,Spoken
1262,English,Spoken
1265,English,Spoken
1266,English,Spoken
1268,English,Spoken
1271,English,Spoken
1272,English,Spoken
1273,English,Spoken
1359,English,Spoken
1360,English,Spoken
1365,English,Spoken
1366,English,Spoken
1368,English,Spoken
1369,English,Spoken
1370,English,Spoken
1372,English,Spoken
1378,English,Spoken
1381,English,Spoken
1389,English,Spoken
1402,English,Spoken
1408,English,Spoken
1415,English,Spoken
1422,English,Spoken
1427,English,Spoken
1428,English,Spoken
1429,English,Spoken
1430,English,Spoken
1435,English,Spoken
1440,English,Spoken
1443,English,Spoken
1452,English,Spoken
1487,English,Spoken
1491,English,Spoken
1493,English,Spoken
1495,English,Spoken
1497,English,Spoken
1499,English,Spoken
1523,English,Spoken
1535,English,Spoken
1537,English,Spoken
1538,English,Spoken
1542,English,Spoken
1547,English,Spoken
1551,English,Spoken
1555,English,Spoken
1562,English,Spoken
1571,English,Spoken
1572,English,Spoken
1573,English,Spoken
1574,English,Spoken
1576,English,Spoken
1577,English,Spoken
1578,English,Spoken
1579,English,Spoken
1581,English,Spoken
1584,English,Spoken
1585,English,Spoken
1586,English,Spoken
1587,English,Spoken
1588,English,Spoken
1593,English,Spoken
1597,English,Spoken
1598,English,Spoken
1613,English,Spoken
1619,English,Spoken
1620,English,Spoken
1621,English,Spoken
1624,English,Spoken
1635,English,Spoken
1636,English,Spoken
1637,English,Spoken
1639,English,Spoken
1640,English,Spoken
1642,English,Spoken
1645,English,Spoken
1646,English,Spoken
1648,English,Spoken
1656,English,Spoken
1667,English,Spoken
1669,English,Spoken
1677,English,Spoken
1683,English,Spoken
1685,English,Spoken
1687,English,Spoken
1688,English,Spoken
1690,English,Spoken
1691,English,Spoken
1701,English,Spoken
1705,English,Spoken
1717,English,Spoken
1722,English,Spoken
1724,English,Spoken
1725,English,Spoken
1726,English,Spoken
1729,English,Spoken
1734,English,Spoken
1735,English,Spoken
1770,English,Spoken
1771,English,Spoken
1777,English,Spoken
1779,English,Spoken
1781,English,Spoken
1788,English,Spoken
1792,English,Spoken
1813,English,Spoken
1817,English,Spoken
1819,English,Spoken
1824,English,Spoken
1830,English,Spoken
1831,English,Spoken
1832,English,Spoken
1833,English,Spoken
1844,English,Spoken
1850,English,Spoken
1852,English,Spoken
1858,English,Spoken
1865,English,Spoken
1878,English,Spoken
1880,English,Spoken
1883,English,Spoken
1885,English,Spoken
1887,English,Spoken
1891,English,Spoken
1892,English,Spoken
1893,English,Spoken
1894,English,Spoken
1895,English,Spoken
1900,English,Spoken
1903,English,Spoken
1904,English,Spoken
1907,English,Spoken
1909,English,Spoken
1911,English,Spoken
1921,English,Spoken
1924,English,Spoken
1927,English,Spoken
1930,English,Spoken
1931,English,Spoken
1934,English,Spoken
1946,English,Spoken
1947,English,Spoken
1948,English,Spoken
1949,English,Spoken
1951,English,Spoken
1954,English,Spoken
1955,English,Spoken
1957,English,Spoken
1961,English,Spoken
1966,English,Spoken
1969,English,Spoken
1970,English,Spoken
1975,English,Spoken
1979,English,Spoken
1985,English,Spoken
1988,English,Spoken
1989,English,Spoken
1995,English,Spoken
1996,English,Spoken
1997,English,Spoken
2001,English,Spoken
2018,English,Spoken
2022,English,Spoken
2023,English,Spoken
2024,English,Spoken
2026,English,Spoken
2034,English,Spoken
2043,English,Spoken
2044,English,Spoken
2048,English,Spoken
2055,English,Spoken
2056,English,Spoken
2057,English,Spoken
2059,English,Spoken
2062,English,Spoken
2067,English,Spoken
2069,English,Spoken
2074,English,Spoken
2080,English,Spoken
2085,English,Spoken
2088,English,Spoken
2100,English,Spoken
2105,English,Spoken
2112,English,Spoken
2114,English,Spoken
2116,English,Spoken
2118,English,Spoken
2119,English,Spoken
2122,English,Spoken
2123,English,Spoken
2133,English,Spoken
2135,English,Spoken
2140,English,Spoken
2142,English,Spoken
2148,English,Spoken
2155,English,Spoken
2157,English,Spoken
2162,English,Spoken
2163,English,Spoken
2176,English,Spoken
2185,English,Spoken
2196,English,Spoken
2207,English,Spoken
2251,English,Spoken
2252,English,Spoken
2253,English,Spoken
2255,English,Spoken
2266,English,Spoken
2268,English,Spoken
2270,English,Spoken
2275,English,Spoken
2277,English,Spoken
2280,English,Spoken
2288,English,Spoken
2289,English,Spoken
2292,English,Spoken
2293,English,Spoken
2294,English,Spoken
2295,English,Spoken
2300,English,Spoken
2309,English,Spoken
2310,English,Spoken
2320,English,Spoken
2355,English,Spoken
2359,English,Spoken
2370,English,Spoken
2428,English,Spoken
2453,English,Spoken
2454,English,Spoken
2486,English,Spoken
2493,English,Spoken
2501,English,Spoken
